Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
19633;21100316466;"Ab Imperio";journal;"21649731, 21664072";"Ab Imperio";No;No;0,177;Q2;16;43;119;590;33;106;0,15;13,72;41,18;0;United States;Northern America;"Ab Imperio";"2013-2025";"History (Q2); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
19634;19900193220;"Bioarchaeology of the Near East";journal;"18989403, 1899962X";"University of Warsaw";Yes;No;0,177;Q2;11;10;36;256;14;28;0,41;25,60;42,11;0;Poland;Eastern Europe;"University of Warsaw";"2009-2022";"Archeology (Q2); Archeology (arts and humanities) (Q2); Anthropology (Q3)";"Arts and Humanities; Social Sciences"
19635;21100266738;"Buddhist Studies Review";journal;"17479681, 02652897";"Equinox Publishing Ltd";No;No;0,177;Q2;9;15;44;398;6;38;0,15;26,53;33,33;0;United Kingdom;Western Europe;"Equinox Publishing Ltd";"2007, 2013-2025";"Religious Studies (Q2)";"Arts and Humanities"
19636;21100941000;"Cuadernos de Prehistoria y Arqueologia de la Universidad Autonoma de Madrid";journal;"02111608, 25303589";"Universidad Autonoma de Madrid";Yes;Yes;0,177;Q2;6;21;36;1430;18;36;0,33;68,10;23,33;10;Spain;Western Europe;"Universidad Autonoma de Madrid";"2018-2025";"Archeology (Q2); Archeology (arts and humanities) (Q2); History (Q2)";"Arts and Humanities; Social Sciences"
19637;14529;"Eire-Ireland; a journal of Irish studies";journal;"00132683, 15505162";"Irish American Cultural Institute";No;No;0,177;Q2;19;24;64;1907;27;60;0,48;79,46;72,00;0;United States;Northern America;"Irish American Cultural Institute";"1976-1977, 1979-1980, 1982, 1987, 2000-2025";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Sociology and Political Science (Q3)";"Arts and Humanities; Social Sciences"
19638;29373;"Jewish Quarterly Review";journal;"00216682, 15530604";"University of Pennsylvania Press";No;No;0,177;Q2;16;50;93;2015;25;86;0,32;40,30;40,82;0;United States;Northern America;"University of Pennsylvania Press";"1953-1995, 1998-1999, 2010-2025";"Cultural Studies (Q2); History (Q2); Religious Studies (Q2)";"Arts and Humanities; Social Sciences"
19639;16800154742;"Journal of the Philosophy of History";journal;"18722636, 1872261X";"Brill Academic Publishers";No;No;0,177;Q2;16;17;78;806;49;71;0,44;47,41;14,29;0;Netherlands;Western Europe;"Brill Academic Publishers";"2007-2026";"History (Q2); History and Philosophy of Science (Q3)";"Arts and Humanities"
19640;16200154711;"Mission Studies";journal;"15733831, 01689789";"Brill Academic Publishers";No;No;0,177;Q2;12;23;84;831;19;70;0,19;36,13;57,14;0;Netherlands;Western Europe;"Brill Academic Publishers";"1984-2026";"History (Q2); Religious Studies (Q2)";"Arts and Humanities"
19641;16566;"Radical History Review";journal;"15341453, 01636545";"Duke University Press";No;No;0,177;Q2;34;39;101;1359;53;84;0,52;34,85;55,88;2;United States;Northern America;"Duke University Press";"1979, 1984, 1986, 1999-2025";"History (Q2)";"Arts and Humanities"
19642;5700191221;"WIT Transactions on the Built Environment";book series;"17464498, 17433509";"WITPress";No;No;0,177;Q2;32;128;655;2732;283;626;0,45;21,34;34,89;0;United Kingdom;Western Europe;"WITPress";"1996, 2001-2022, 2025";"Architecture (Q2); Arts and Humanities (miscellaneous) (Q3); Automotive Engineering (Q4); Building and Construction (Q4); Civil and Structural Engineering (Q4); Computer Science Applications (Q4); Safety Research (Q4); Safety, Risk, Reliability and Quality (Q4); Transportation (Q4)";"Arts and Humanities; Computer Science; Engineering; Social Sciences"
19643;19800188059;"Bereavement Care";journal;"02682621, 19448279";"Routledge";No;No;0,177;Q3;0;0;0;0;0;0;0,00;0,00;0,00;0;United Kingdom;Western Europe;"Routledge";"1982-2020";"Advanced and Specialized Nursing (Q3); Gerontology (Q4); Health (social science) (Q4); Social Psychology (Q4)";"Nursing; Psychology; Social Sciences"
19644;19800188063;"China Journal of Social Work";journal;"17525098, 17525101";"Routledge";No;No;0,177;Q3;17;20;59;750;25;48;0,51;37,50;57,38;0;United Kingdom;Western Europe;"Routledge";"2010-2026";"Sociology and Political Science (Q3); Health (social science) (Q4); Social Work (Q4)";"Social Sciences"
19645;144721;"Chinese Journal of Contemporary Pediatrics";journal;"20969228, 10088830";"Central South University";No;No;0,177;Q3;25;217;665;4796;467;665;0,77;22,10;47,30;1;China;Asiatic Region;"Central South University";"2005-2026";"Pediatrics, Perinatology and Child Health (Q3); Medicine (miscellaneous) (Q4)";"Medicine"
19646;15416;"Computers in Libraries";trade journal;"10417915";"Information Today";No;No;0,177;Q3;20;38;176;46;20;41;0,09;1,21;75,00;0;United States;Northern America;"Information Today";"1996-2026";"Library and Information Sciences (Q3); Computer Science (miscellaneous) (Q4)";"Computer Science; Social Sciences"
19647;4700152426;"Current Pharmaceutical Analysis";journal;"1875676X, 15734129";"KeAi Communications Co.";No;No;0,177;Q3;32;114;309;4818;196;304;0,59;42,26;49,23;0;China;Asiatic Region;"KeAi Communications Co.";"2006-2026";"Pharmaceutical Science (Q3); Biochemistry (Q4); Biophysics (Q4); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
19648;21100326093;"ESSACHESS - Journal for Communication Studies";journal;"1775352X, 20665083";"";Yes;No;0,177;Q3;12;12;59;513;37;54;0,80;42,75;61,90;0;France;Western Europe;"";"2014-2025";"Communication (Q3)";"Social Sciences"
19649;21100885611;"European Journal of Comparative Law and Governance";journal;"22134506, 22134514";"Brill Academic Publishers";No;No;0,177;Q3;11;16;43;946;37;36;0,83;59,13;44,44;1;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2026";"Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4)";"Social Sciences"
19650;21100349535;"International Journal of Economics and Business Research";journal;"17569869, 17569850";"Inderscience";No;No;0,177;Q3;17;52;179;3146;129;179;0,66;60,50;42,34;0;Switzerland;Western Europe;"Inderscience";"2014-2025";"Economics, Econometrics and Finance (miscellaneous) (Q3); Business, Management and Accounting (miscellaneous) (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
19651;21100862487;"International Journal of Language and Culture";journal;"22143157, 22143165";"John Benjamins Publishing Company";No;No;0,177;Q3;12;16;33;681;26;33;0,50;42,56;50,00;0;Netherlands;Western Europe;"John Benjamins Publishing Company";"2014-2025";"Multidisciplinary (Q3)";"Multidisciplinary"
19652;19700175056;"Jordan Journal of Pharmaceutical Sciences";journal;"19957157";"University of Jordan,Deanship of Scientific Research";No;No;0,177;Q3;16;37;66;1360;54;65;0,85;36,76;44,06;0;Jordan;Middle East;"University of Jordan,Deanship of Scientific Research";"2009-2025";"Pharmaceutical Science (Q3)";"Pharmacology, Toxicology and Pharmaceutics"
19653;23107;"Journal of Pharmacy Technology";journal;"15494810, 87551225";"SAGE Publications Inc.";No;No;0,177;Q3;22;44;110;1177;66;96;0,63;26,75;56,52;6;United States;Northern America;"SAGE Publications Inc.";"1989-2026";"Pharmaceutical Science (Q3)";"Pharmacology, Toxicology and Pharmaceutics"
19654;21100855500;"Journal of Population and Social Studies";journal;"24654418";"Mahidol University, Institute for Population and Social Research";No;No;0,177;Q3;15;40;78;1818;51;77;0,58;45,45;43,59;0;Thailand;Asiatic Region;"Mahidol University, Institute for Population and Social Research";"2017-2027";"Anthropology (Q3); Demography (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Geography, Planning and Development (Q4); Health (social science) (Q4)";"Social Sciences"
19655;21101021174;"Veterinary Integrative Sciences";journal;"26299968";"Chiang Mai University - Faculty of Veterinary Medicine";Yes;Yes;0,177;Q3;11;45;68;1784;46;68;0,73;39,64;47,42;0;Thailand;Asiatic Region;"Chiang Mai University - Faculty of Veterinary Medicine";"2018-2026";"Veterinary (miscellaneous) (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Animal Science and Zoology (Q4)";"Agricultural and Biological Sciences; Veterinary"
19656;5600157614;"Applied Mathematics";journal;"19930445, 10051031";"Springer Verlag";No;No;0,177;Q4;25;42;99;1084;62;99;0,73;25,81;33,02;0;Germany;Western Europe;"Springer Verlag";"1993-2025";"Applied Mathematics (Q4)";"Mathematics"
19657;17800156707;"Chiang Mai Journal of Science";journal;"01252526";"Chiang Mai University";No;No;0,177;Q4;32;129;462;4892;307;459;0,55;37,92;44,33;0;Thailand;Asiatic Region;"Chiang Mai University";"2008-2026";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Materials Science (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Mathematics; Physics and Astronomy"
19658;19700175904;"Collegiate Aviation Review";journal;"15235955";"University Aviation Association";No;No;0,177;Q4;10;30;43;871;29;42;0,68;29,03;32,43;0;United States;Northern America;"University Aviation Association";"2009-2026";"Education (Q4)";"Social Sciences"
19659;4900152404;"Electrolyte and Blood Pressure";journal;"17385997, 20929935";"Korean Society of Electrolyte and Blood Pressure Research";Yes;No;0,177;Q4;29;9;24;305;20;24;0,89;33,89;33,33;0;South Korea;Asiatic Region;"Korean Society of Electrolyte and Blood Pressure Research";"2006-2025";"Cardiology and Cardiovascular Medicine (Q4); Internal Medicine (Q4); Physiology (Q4)";"Biochemistry, Genetics and Molecular Biology; Medicine"
19660;21585;"Giornale di Chirurgia";journal;"03919005, 1971145X";"Wolters Kluwer Health";No;No;0,177;Q4;29;0;182;0;132;177;0,61;0,00;0,00;0;Italy;Western Europe;"Wolters Kluwer Health";"1946-1958, 1982-2020, 2022-2025";"Medicine (miscellaneous) (Q4); Surgery (Q4)";"Medicine"
19661;12000154552;"Idesia";journal;"00734675, 07183429";"Universidad de Tarapaca";Yes;Yes;0,177;Q4;19;63;191;1315;85;180;0,40;20,87;28,84;0;Chile;Latin America;"Universidad de Tarapaca";"2008-2025";"Agricultural and Biological Sciences (miscellaneous) (Q4); Agronomy and Crop Science (Q4)";"Agricultural and Biological Sciences"
19662;21101045208;"Indian Journal of Sexually Transmitted Diseases and AIDS";journal;"25890565, 25890557";"Wolters Kluwer Medknow Publications";No;No;0,177;Q4;24;43;126;624;69;100;0,49;14,51;46,15;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"2018-2025";"Dermatology (Q4); Infectious Diseases (Q4); Public Health, Environmental and Occupational Health (Q4)";"Medicine"
19663;21100945248;"Innovations in Incidence Geometry";journal;"26407345, 26407337";"Mathematical Sciences Publishers";No;No;0,177;Q4;12;1;42;26;4;39;0,25;26,00;0,00;0;United States;Northern America;"Mathematical Sciences Publishers";"2005-2011, 2013, 2015, 2017-2025";"Geometry and Topology (Q4)";"Mathematics"
19664;21100210915;"International Journal of Business";journal;"10834346";"Chaoyang University of Technology";No;No;0,177;Q4;16;23;86;1091;72;86;0,88;47,43;30,91;0;Taiwan;Asiatic Region;"Chaoyang University of Technology";"2007, 2010-2025";"Business and International Management (Q4); Economics and Econometrics (Q4); Finance (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
19665;8000153105;"International Journal of Environment and Health";journal;"17434963, 17434955";"Inderscience Enterprises Ltd";No;No;0,177;Q4;19;5;36;330;19;33;0,45;66,00;20,00;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2007-2021, 2023-2024";"Business, Management and Accounting (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Public Health, Environmental and Occupational Health (Q4)";"Business, Management and Accounting; Environmental Science; Medicine"
19666;20500195026;"International Journal of High Dilution Research";journal;"19826206";"Groupe International de Recherche sur l'Infinitesimal";Yes;Yes;0,177;Q4;10;26;94;431;13;86;0,20;16,58;63,01;0;Brazil;Latin America;"Groupe International de Recherche sur l'Infinitesimal";"2011-2025";"Complementary and Alternative Medicine (Q4)";"Medicine"
19667;15268;"Issues in Law and Medicine";journal;"23776463, 87568160";"National Legal Center Medically Dependent and Disabled Inc.";No;No;0,177;Q4;18;11;34;422;11;33;0,25;38,36;50,00;0;United States;Northern America;"National Legal Center Medically Dependent and Disabled Inc.";"1985-2012, 2014-2025";"Health Policy (Q4); Issues, Ethics and Legal Aspects (Q4); Medicine (miscellaneous) (Q4)";"Medicine; Nursing"
19668;13750;"JBIS - Journal of the British Interplanetary Society";journal;"0007084X";"British Interplanetary Society";No;No;0,177;Q4;30;61;178;1891;75;163;0,45;31,00;17,36;0;United Kingdom;Western Europe;"British Interplanetary Society";"1968-1971, 1974-1990, 1992-1993, 1995-2025";"Aerospace Engineering (Q4); Space and Planetary Science (Q4)";"Earth and Planetary Sciences; Engineering"
19669;21100894186;"Journal of Health Sciences";journal;"19868049, 22327576";"University of Sarajevo - Faculty of Health Studies";Yes;Yes;0,177;Q4;9;32;85;959;50;85;0,62;29,97;56,43;0;Bosnia and Herzegovina;Eastern Europe;"University of Sarajevo - Faculty of Health Studies";"2018-2025";"Medicine (miscellaneous) (Q4); Nursing (miscellaneous) (Q4)";"Medicine; Nursing"
19670;21100211746;"Journal of Military and Veterans' Health";journal;"18351271";"Australasian Military Medicine Association";Yes;No;0,177;Q4;16;23;64;438;26;44;0,20;19,04;35,29;0;Australia;Pacific Region;"Australasian Military Medicine Association";"2012-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19671;21100982464;"Journal of Nephropharmacology";journal;"23454202";"Society of Diabetic Nephropathy Prevention";Yes;No;0,177;Q4;9;18;56;551;33;56;0,59;30,61;47,50;0;Iran;Middle East;"Society of Diabetic Nephropathy Prevention";"2019-2026";"Nephrology (Q4); Pharmacology (medical) (Q4)";"Medicine"
19672;24883;"Journal of Southeast University (English Edition)";journal;"10037985";"Southeast University";No;No;0,177;Q4;20;58;206;1296;85;206;0,37;22,34;37,77;0;China;Asiatic Region;"Southeast University";"2003-2025";"Engineering (miscellaneous) (Q4)";"Engineering"
19673;4700152644;"Journal of the Korean Chemical Society";journal;"22348530, 10172548";"Korean Chemical Society";No;No;0,177;Q4;26;51;163;1599;55;160;0,35;31,35;41,74;0;South Korea;Asiatic Region;"Korean Chemical Society";"2005-2026";"Chemical Engineering (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4)";"Chemical Engineering; Chemistry"
19674;19700173017;"Kinematics and Physics of Celestial Bodies";journal;"19348401, 08845913";"Allerton Press Inc.";No;No;0,177;Q4;13;32;81;984;36;81;0,48;30,75;47,83;0;United States;Northern America;"Allerton Press Inc.";"2008-2026";"Astronomy and Astrophysics (Q4); Space and Planetary Science (Q4)";"Earth and Planetary Sciences; Physics and Astronomy"
19675;19900191752;"Motricidade";journal;"21822972, 1646107X";"Universidade da Beira Interior";Yes;No;0,177;Q4;18;47;188;1614;97;180;0,32;34,34;41,55;1;Portugal;Western Europe;"Universidade da Beira Interior";"2011-2025";"Orthopedics and Sports Medicine (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4)";"Health Professions; Medicine"
19676;15817;"National Medical Journal of India";journal;"0970258X";"Wolters Kluwer Medknow Publications";No;No;0,177;Q4;49;83;361;612;131;209;0,21;7,37;35,76;0;India;Asiatic Region;"Wolters Kluwer Medknow Publications";"1988-2026";"Medicine (miscellaneous) (Q4)";"Medicine"
19677;21100981757;"Physics and Chemistry of Solid State";journal;"23098589, 17294428";"Vasyl Stefanyk Precarpathian National University";Yes;Yes;0,177;Q4;18;115;180;3191;112;180;0,63;27,75;35,49;0;Ukraine;Eastern Europe;"Vasyl Stefanyk Precarpathian National University";"2018-2025";"Condensed Matter Physics (Q4); Materials Science (miscellaneous) (Q4); Physical and Theoretical Chemistry (Q4)";"Chemistry; Materials Science; Physics and Astronomy"
19678;21100244210;"Primary Dental Journal";journal;"20501684, 20501692";"SAGE Publications Ltd";No;No;0,177;Q4;22;67;124;0;84;110;0,73;0,00;45,63;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"2012-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19679;21100788426;"Scientia Sinica: Physica, Mechanica et Astronomica";journal;"20959478, 16747275";"Science Press";No;No;0,177;Q4;24;148;449;7000;400;421;0,95;47,30;31,42;0;China;Asiatic Region;"Science Press";"2016-2026";"Physics and Astronomy (miscellaneous) (Q4)";"Physics and Astronomy"
19680;14135;"South African Statistical Journal";journal;"0038271X, 19968450";"South African Statistical Association";No;No;0,177;Q4;12;9;36;219;10;36;0,16;24,33;24,00;0;South Africa;Africa;"South African Statistical Association";"1996-2025";"Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)";"Decision Sciences; Mathematics"
19681;21100294100;"Spectroscopy (Santa Monica)";journal;"08876703";"Advanstar Communications Inc.";No;No;0,177;Q4;35;104;199;1376;104;184;0,54;13,23;33,67;0;United States;Northern America;"Advanstar Communications Inc.";"1996-2026";"Analytical Chemistry (Q4); Atomic and Molecular Physics, and Optics (Q4); Spectroscopy (Q4)";"Chemistry; Physics and Astronomy"
19682;14200154710;"Tanzania Journal of Health Research";journal;"18216404";"National Institute for Medical Research";Yes;No;0,177;Q4;34;5;57;112;30;57;0,19;22,40;28,57;0;Tanzania;Africa;"National Institute for Medical Research";"2008-2019, 2021-2025";"Medicine (miscellaneous) (Q4)";"Medicine"
19683;79800;"IEEE International Conference on Microelectronic Test Structures";conference and proceedings;"10719032, 21581029";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,177;-;24;0;114;0;39;109;0,31;0,00;0,00;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1993-2020, 2022-2025";"Electrical and Electronic Engineering";"Engineering"
